language	translation_id	chapter	mode	dist_interlinear
eng	berean-literal-bible	MAT 12	Literal	0.27732378071604497
eng	berean-literal-bible	MAT 13	Literal	0.2414196466076439
eng	berean-literal-bible	MAT 14	Literal	0.23689328547678884
eng	berean-literal-bible	MAT 15	Literal	0.24757478280329176
eng	berean-literal-bible	MAT 16	Literal	0.304184595488133
eng	berean-literal-bible	MAT 17	Literal	0.2561001562838487
eng	berean-literal-bible	MAT 18	Literal	0.2165334936963932
eng	berean-literal-bible	MAT 19	Literal	0.28563665280064077
eng	berean-literal-bible	MAT 2	Literal	0.36182518215537957
eng	berean-literal-bible	MAT 20	Literal	0.2525561815916796
eng	berean-literal-bible	MAT 21	Literal	0.27132337773762594
eng	berean-literal-bible	MAT 22	Literal	0.2681302639139544
eng	berean-literal-bible	MAT 23	Literal	0.3059400571221757
eng	berean-literal-bible	MAT 24	Literal	0.28494349386012946
eng	berean-literal-bible	MAT 25	Literal	0.21214796004672543
eng	berean-literal-bible	MAT 26	Literal	0.21649039163315123
eng	berean-literal-bible	MAT 27	Literal	0.28091754540461267
eng	berean-literal-bible	MAT 28	Literal	0.24656418159781596
eng	berean-literal-bible	MAT 3	Literal	0.3050595258457281
eng	berean-literal-bible	MAT 4	Literal	0.3193625802453271
eng	berean-literal-bible	MAT 5	Literal	0.24875709449994482
eng	berean-literal-bible	MAT 6	Literal	0.2376850946747544
eng	berean-literal-bible	MAT 7	Literal	0.2905436943170109
eng	berean-literal-bible	MAT 8	Literal	0.25942539055314695
eng	berean-literal-bible	MAT 9	Literal	0.2995318610917936
eng	berean-literal-bible	MRK 1	Literal	0.285309747080693
eng	berean-literal-bible	MRK 10	Literal	0.26582744850584894
eng	berean-literal-bible	MRK 11	Literal	0.26049983144665917
eng	berean-literal-bible	MRK 12	Literal	0.2870589740487625
eng	berean-literal-bible	MRK 13	Literal	0.287156075829387
eng	berean-literal-bible	MRK 14	Literal	0.26074051765843176
eng	berean-literal-bible	MRK 15	Literal	0.2598433497221627
eng	berean-literal-bible	MRK 16	Literal	0.31951893678533705
eng	berean-literal-bible	MRK 2	Literal	0.26879945285771284
eng	berean-literal-bible	MRK 3	Literal	0.33354109404081866
eng	berean-literal-bible	MRK 4	Literal	0.20676862750939798
eng	berean-literal-bible	MRK 5	Literal	0.2432567586827775
eng	berean-literal-bible	MRK 6	Literal	0.2507389878851879
eng	berean-literal-bible	MRK 7	Literal	0.23510527051805932
eng	berean-literal-bible	MRK 8	Literal	0.29587310896017704
eng	berean-literal-bible	MRK 9	Literal	0.2570237977393151
eng	berean-literal-bible	PHM 1	Literal	0.2774724854447548
