language	translation_id	chapter	pca_x	pca_y	mode
eng	good-news	REV 4	-0.030213424361745497	0.05679517850974248	Dynamic
eng	good-news	REV 5	-0.045770922077961115	0.05236827877655967	Dynamic
eng	good-news	REV 6	-0.016610144702247573	0.07094641554602908	Dynamic
eng	good-news	REV 7	-0.01615600290202031	0.027752091470829396	Dynamic
eng	good-news	REV 8	-0.020263413677313998	0.046346155309401275	Dynamic
eng	good-news	REV 9	-0.03237580937575508	0.04758708848679321	Dynamic
eng	good-news	ROM 1	-0.029461525927423987	0.06348288926061288	Dynamic
eng	good-news	ROM 10	-0.0660795237521211	0.118023448397104	Dynamic
eng	good-news	ROM 11	-0.041215585112836475	0.09218005867133496	Dynamic
eng	good-news	ROM 12	-0.034449550378520336	0.08577203243451038	Dynamic
eng	good-news	ROM 13	-0.0441502926816885	0.09825460283596461	Dynamic
eng	good-news	ROM 14	-0.031167682264060567	0.06527150874133844	Dynamic
eng	good-news	ROM 15	-0.05926320587855382	0.0704389030453374	Dynamic
eng	good-news	ROM 16	-0.007384057734278818	0.04275496203967777	Dynamic
eng	good-news	ROM 2	-0.09070554429077018	0.08011579593961893	Dynamic
eng	good-news	ROM 3	-0.1010359337339731	0.06834798483350436	Dynamic
eng	good-news	ROM 4	-0.11772267935505466	0.11022518628205459	Dynamic
eng	good-news	ROM 5	-0.09964655234818642	0.094134913566228	Dynamic
eng	good-news	ROM 6	-0.06189417205784504	0.08647995466197556	Dynamic
eng	good-news	ROM 7	-0.021921721200450855	0.09861953736884799	Dynamic
eng	good-news	ROM 8	-0.0526378136950752	0.048910441441431224	Dynamic
eng	good-news	ROM 9	-0.08129399350341988	0.07245170417067993	Dynamic
eng	good-news	TIT 1	-0.027641511620194813	0.03646715299793494	Dynamic
eng	good-news	TIT 2	-0.017898368733016028	0.07199250462277157	Dynamic
eng	good-news	TIT 3	-0.022886520190276434	0.08982390697595523	Dynamic
eng	jb-phillips-new-testament	1CO 1	-0.07926947149379078	0.07691798530943518	Dynamic
eng	jb-phillips-new-testament	1CO 10	-0.10743773105299537	0.10866080481084996	Dynamic
eng	jb-phillips-new-testament	1CO 11	-0.04665552800689389	0.0543075324612762	Dynamic
eng	jb-phillips-new-testament	1CO 12	-0.043954210827752326	0.06020123555648994	Dynamic
eng	jb-phillips-new-testament	1CO 13	-0.0274174809746177	0.061673132755708925	Dynamic
eng	jb-phillips-new-testament	1CO 14	-0.03814306181240129	0.06309709296648447	Dynamic
eng	jb-phillips-new-testament	1CO 15	-0.032161377162621824	0.03199410392595319	Dynamic
eng	jb-phillips-new-testament	1CO 16	-0.043175570316526406	0.09725918687054748	Dynamic
eng	jb-phillips-new-testament	1CO 2	-0.06271139314139373	0.0656326154557644	Dynamic
eng	jb-phillips-new-testament	1CO 3	-0.05824433119124123	0.06450790469677753	Dynamic
eng	jb-phillips-new-testament	1CO 4	-0.08924724550442517	0.0877240574059129	Dynamic
eng	jb-phillips-new-testament	1CO 5	-0.05460119146580972	0.05112907430501345	Dynamic
eng	jb-phillips-new-testament	1CO 6	-0.06710654491160765	0.07704045941900271	Dynamic
eng	jb-phillips-new-testament	1CO 7	-0.04708989429640775	0.044440667658144056	Dynamic
eng	jb-phillips-new-testament	1CO 8	-0.04450684373846951	0.06354336727375778	Dynamic
eng	jb-phillips-new-testament	1CO 9	-0.06387821587035647	0.033609125976774894	Dynamic
eng	jb-phillips-new-testament	1JN 1	-0.07046211545244314	0.07734272931181249	Dynamic
eng	jb-phillips-new-testament	1JN 2	-0.08539861685581261	0.07733753883601761	Dynamic
eng	jb-phillips-new-testament	1JN 3	-0.07380904036935233	0.0887218511264406	Dynamic
eng	jb-phillips-new-testament	1JN 4	-0.07465003341563656	0.08615276379979993	Dynamic
eng	jb-phillips-new-testament	1JN 5	-0.0508275183774737	0.08526572958221541	Dynamic
eng	jb-phillips-new-testament	1PE 1	-0.1388953239882967	0.07210753590247676	Dynamic
eng	jb-phillips-new-testament	1PE 2	-0.04807543501568541	0.09040497170788576	Dynamic
eng	jb-phillips-new-testament	1PE 3	-0.05588901962705834	0.090522682165999	Dynamic
eng	jb-phillips-new-testament	1PE 4	-0.04432954146482235	0.07075549837436715	Dynamic
eng	jb-phillips-new-testament	1PE 5	-0.004923588492320746	0.10528290620590228	Dynamic
eng	jb-phillips-new-testament	1TH 1	-0.09818326399434116	0.09272523668918628	Dynamic
eng	jb-phillips-new-testament	1TH 2	-0.04861678282550194	0.02770509576315244	Dynamic
eng	jb-phillips-new-testament	1TH 3	-0.034545597107692845	0.055650336654971246	Dynamic
eng	jb-phillips-new-testament	1TH 4	-0.06024135829868432	0.0635890278534825	Dynamic
eng	jb-phillips-new-testament	1TH 5	-0.0440821687733771	0.11164598460330061	Dynamic
eng	jb-phillips-new-testament	1TI 1	-0.018890819956372047	0.06521315195381217	Dynamic
eng	jb-phillips-new-testament	1TI 2	-0.08051887805195189	0.06075055758012141	Dynamic
eng	jb-phillips-new-testament	1TI 3	-0.0016794971937910547	0.04061585934575095	Dynamic
eng	jb-phillips-new-testament	1TI 4	-0.0908007602257862	0.09211410528958083	Dynamic
eng	jb-phillips-new-testament	1TI 5	-0.037622826895243294	0.07530784949620313	Dynamic
eng	jb-phillips-new-testament	1TI 6	-0.015078915843338606	0.0659431670371678	Dynamic
eng	jb-phillips-new-testament	2CO 1	-0.05726059202673975	0.0523776541854308	Dynamic
eng	jb-phillips-new-testament	2CO 10	-0.08450254623408485	0.09011933783207018	Dynamic
eng	jb-phillips-new-testament	2CO 11	-0.08467852998891758	0.08784306250448724	Dynamic
eng	jb-phillips-new-testament	2CO 12	-0.10895818663978199	0.09791723608732858	Dynamic
eng	jb-phillips-new-testament	2CO 13	-0.025102387245310345	0.08821007846183353	Dynamic
eng	jb-phillips-new-testament	2CO 2	-0.11264493460312848	0.11042863370172887	Dynamic
eng	jb-phillips-new-testament	2CO 3	-0.08772677710992538	0.09634774504475542	Dynamic
eng	jb-phillips-new-testament	2CO 4	-0.09697924352412121	0.1132785714240687	Dynamic
eng	jb-phillips-new-testament	2CO 5	-0.10530655053662617	0.07621657570166393	Dynamic
eng	jb-phillips-new-testament	2CO 6	-0.07539106196866394	0.07051628772781879	Dynamic
eng	jb-phillips-new-testament	2CO 7	-0.05052289667379284	0.09595556249702153	Dynamic
eng	jb-phillips-new-testament	2CO 8	-0.011855730168623096	0.07748137864416602	Dynamic
eng	jb-phillips-new-testament	2CO 9	-0.015669685034164105	0.08363736434964684	Dynamic
eng	jb-phillips-new-testament	2JN 1	-0.03341884039487629	0.10970014647343677	Dynamic
eng	jb-phillips-new-testament	2PE 1	-0.09245955407863748	0.05742086988759194	Dynamic
eng	jb-phillips-new-testament	2PE 2	-0.0333603776682172	0.03714420545765443	Dynamic
eng	jb-phillips-new-testament	2PE 3	-0.06868915978844584	0.08906631536357734	Dynamic
eng	jb-phillips-new-testament	2TH 1	-0.05523836170268013	0.05968825747449471	Dynamic
eng	jb-phillips-new-testament	2TH 2	-0.09460259868579973	0.04849053023846982	Dynamic
eng	jb-phillips-new-testament	2TH 3	-0.010785716748873402	0.1022496010233526	Dynamic
eng	jb-phillips-new-testament	2TI 1	-0.05873621563551992	0.060442609324042544	Dynamic
eng	jb-phillips-new-testament	2TI 2	-0.08716282555708803	0.11127933342914055	Dynamic
eng	jb-phillips-new-testament	2TI 3	-0.037236077919108275	0.06162523813151813	Dynamic
eng	jb-phillips-new-testament	2TI 4	-0.009001235217069858	0.05134092535511964	Dynamic
eng	jb-phillips-new-testament	3JN 1	-0.06571216417067742	0.07991455823163986	Dynamic
eng	jb-phillips-new-testament	ACT 1	-0.05732086080438527	0.050135880422326244	Dynamic
eng	jb-phillips-new-testament	ACT 10	-0.026654216382338627	0.03617461595131298	Dynamic
eng	jb-phillips-new-testament	ACT 11	-0.07716296459010925	0.019830979153366294	Dynamic
eng	jb-phillips-new-testament	ACT 12	-0.04379413174746413	0.031658412197409364	Dynamic
eng	jb-phillips-new-testament	ACT 13	-0.03946899920426579	0.03171772042140162	Dynamic
eng	jb-phillips-new-testament	ACT 14	-0.02247288062620935	0.04621880480574561	Dynamic
eng	jb-phillips-new-testament	ACT 15	-0.03570113113595886	0.05123769909798549	Dynamic
eng	jb-phillips-new-testament	ACT 16	-0.04354274351247304	0.030436557838640074	Dynamic
eng	jb-phillips-new-testament	ACT 17	-0.018298898888775297	0.04001697407336982	Dynamic
eng	jb-phillips-new-testament	ACT 18	-0.04688779163523947	0.03527222679830719	Dynamic
eng	jb-phillips-new-testament	ACT 19	-0.037159864194926666	0.03844435611285212	Dynamic
eng	jb-phillips-new-testament	ACT 2	-0.0619433026101143	0.042438430134358246	Dynamic
eng	jb-phillips-new-testament	ACT 20	-0.027165302482532572	0.03655794585182822	Dynamic
eng	jb-phillips-new-testament	ACT 21	-0.0383373264523053	0.05214751394390124	Dynamic
eng	jb-phillips-new-testament	ACT 22	-0.013173185069084867	0.09054373389533918	Dynamic
eng	jb-phillips-new-testament	ACT 23	-0.05194591425898949	-0.006096222396933769	Dynamic
eng	jb-phillips-new-testament	ACT 24	-0.013244124403197034	0.03970487247465739	Dynamic
eng	jb-phillips-new-testament	ACT 25	-0.03843314645045658	0.0089944788486989	Dynamic
eng	jb-phillips-new-testament	ACT 26	-0.003976513434214013	0.07539546813098524	Dynamic
eng	jb-phillips-new-testament	ACT 27	-0.01240600581902021	0.017986238041792408	Dynamic
eng	jb-phillips-new-testament	ACT 28	-0.019621412514102606	0.03174210488390365	Dynamic
eng	jb-phillips-new-testament	ACT 3	-0.06229104231909712	0.06134418597409217	Dynamic
eng	jb-phillips-new-testament	ACT 4	-0.029776083698758955	0.021400150537983286	Dynamic
eng	jb-phillips-new-testament	ACT 5	-0.0203478467253652	0.023099827331597534	Dynamic
eng	jb-phillips-new-testament	ACT 6	-0.042879469760082466	0.05709553514245552	Dynamic
eng	jb-phillips-new-testament	ACT 7	-0.08758124966580255	0.0006562489964154761	Dynamic
eng	jb-phillips-new-testament	ACT 8	-0.04199778603981884	0.019887628779082026	Dynamic
eng	jb-phillips-new-testament	ACT 9	-0.0522556115329599	0.057473064936469656	Dynamic
eng	jb-phillips-new-testament	COL 1	-0.09030831908104271	0.09056936727908806	Dynamic
eng	jb-phillips-new-testament	COL 2	-0.08606024114765254	0.07434648796544807	Dynamic
eng	jb-phillips-new-testament	COL 3	-0.0722277806846847	0.13095948293346688	Dynamic
eng	jb-phillips-new-testament	COL 4	-0.00935640347028309	0.14529951065504024	Dynamic
eng	jb-phillips-new-testament	EPH 1	-0.08767268871844752	0.05828929104953465	Dynamic
eng	jb-phillips-new-testament	EPH 2	-0.12320022408808058	0.09654639709881035	Dynamic
eng	jb-phillips-new-testament	EPH 3	-0.08801369935433388	0.07708172854072609	Dynamic
eng	jb-phillips-new-testament	EPH 4	-0.05559495615207357	0.0569492996610053	Dynamic
